#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Cox4i2	Cox6b2	10090.ENSMUSP00000105446	10090.ENSMUSP00000138709	0	0.315	0.360	0.207	0.621
Cox4i2	Ndufa4	10090.ENSMUSP00000105446	10090.ENSMUSP00000144932	0	0.123	0.720	0	0.743
Cox4i2	Cox6c	10090.ENSMUSP00000105446	10090.ENSMUSP00000123609	0	0.358	0.720	0.130	0.829
Cox4i2	Cox7c	10090.ENSMUSP00000105446	10090.ENSMUSP00000115419	0	0.396	0.720	0.225	0.857
Cox5a	Ndufa1	10090.ENSMUSP00000000090	10090.ENSMUSP00000016571	0	0.404	0	0	0.404
Cox5a	mt-Nd3	10090.ENSMUSP00000000090	10090.ENSMUSP00000080998	0	0.404	0	0	0.404
Cox5a	mt-Nd5	10090.ENSMUSP00000000090	10090.ENSMUSP00000081001	0	0.404	0	0	0.404
Cox5a	mt-Nd6	10090.ENSMUSP00000000090	10090.ENSMUSP00000081002	0	0.404	0	0	0.404
Cox5a	mt-Nd4	10090.ENSMUSP00000000090	10090.ENSMUSP00000081000	0	0.404	0	0	0.404
Cox5a	Ndufa3	10090.ENSMUSP00000000090	10090.ENSMUSP00000075953	0	0.404	0	0	0.404
Cox5a	mt-Nd1	10090.ENSMUSP00000000090	10090.ENSMUSP00000080991	0	0.404	0	0	0.404
Cox5a	Ndufa11	10090.ENSMUSP00000000090	10090.ENSMUSP00000002452	0	0.404	0	0	0.404
Cox5a	Ndufb7	10090.ENSMUSP00000000090	10090.ENSMUSP00000037341	0	0.404	0	0	0.404
Cox5a	Ndufb1-ps	10090.ENSMUSP00000000090	10090.ENSMUSP00000159138	0	0.404	0	0	0.404
Cox5a	mt-Nd2	10090.ENSMUSP00000000090	10090.ENSMUSP00000080992	0	0.404	0	0	0.404
Cox5a	Ndufa8	10090.ENSMUSP00000000090	10090.ENSMUSP00000065352	0	0.404	0	0	0.404
Cox5a	Ndufa5	10090.ENSMUSP00000000090	10090.ENSMUSP00000023851	0	0.404	0	0	0.404
Cox5a	Ndufab1	10090.ENSMUSP00000000090	10090.ENSMUSP00000033157	0	0.404	0	0	0.404
Cox5a	Ndufa6	10090.ENSMUSP00000000090	10090.ENSMUSP00000023085	0	0.404	0	0	0.404
Cox5a	Ndufb8	10090.ENSMUSP00000000090	10090.ENSMUSP00000026222	0	0.346	0	0.158	0.425
Cox5a	Ndufc2	10090.ENSMUSP00000000090	10090.ENSMUSP00000032882	0	0.441	0	0	0.441
Cox5a	Ndufb4	10090.ENSMUSP00000000090	10090.ENSMUSP00000023514	0	0.443	0	0	0.443
Cox5a	Ndufs5	10090.ENSMUSP00000000090	10090.ENSMUSP00000101813	0	0.498	0	0	0.497
Cox5a	Ndufb6	10090.ENSMUSP00000000090	10090.ENSMUSP00000092746	0	0.498	0	0	0.497
Cox5a	Ndufs6	10090.ENSMUSP00000000090	10090.ENSMUSP00000022097	0	0.511	0	0	0.511
Cox5a	Ndufa2	10090.ENSMUSP00000000090	10090.ENSMUSP00000014438	0	0.511	0	0	0.511
Cox5a	Ndufs7	10090.ENSMUSP00000000090	10090.ENSMUSP00000101003	0	0.511	0	0	0.511
Cox5a	Ndufs4	10090.ENSMUSP00000000090	10090.ENSMUSP00000022286	0	0.511	0	0	0.511
Cox5a	Ndufb9	10090.ENSMUSP00000000090	10090.ENSMUSP00000022980	0	0.512	0	0.086	0.534
Cox5a	Ndufa4l2	10090.ENSMUSP00000000090	10090.ENSMUSP00000042185	0	0	0.540	0	0.540
Cox5a	Ndufv1	10090.ENSMUSP00000000090	10090.ENSMUSP00000042967	0	0.558	0	0	0.558
Cox5a	Ndufa12	10090.ENSMUSP00000000090	10090.ENSMUSP00000136313	0	0.582	0	0	0.582
Cox5a	Ndufb10	10090.ENSMUSP00000000090	10090.ENSMUSP00000043543	0	0.621	0	0	0.621
Cox5a	Cox6b2	10090.ENSMUSP00000000090	10090.ENSMUSP00000138709	0	0.389	0.360	0.120	0.625
Cox5a	Ndufs8	10090.ENSMUSP00000000090	10090.ENSMUSP00000158541	0	0.440	0	0.379	0.637
Cox5a	Uqcc3	10090.ENSMUSP00000000090	10090.ENSMUSP00000093972	0	0	0.720	0	0.720
Cox5a	Cox7a1	10090.ENSMUSP00000000090	10090.ENSMUSP00000096193	0	0.598	0.360	0.253	0.791
